"year","emissions","municipality","surface","compactness","demand","gas_consume","electricity_consume","diesel_consume","eco_consume","co2","energy"
"1939","63.09","Begues","108.13","1","222.42","0","40.7","0","314.13","F","G"
"1999","43.94","Sant Pere de Ribes","140.43","1.63","182","0","132.74","0","259.38","E","E"
"1981","61.3","COLLBATÓ","138.65","1.57","136.03","239.64","2.74","0","290.52","E","F"
"1978","58.15","ESPARREGUERA","45.26","0.76","218.43","122.16","2.73","0","275.84","E","F"
"1985","41.86","Castellar del Riu","114.6","1.34","107.39","0","16.85","116.67","170.48","D","D"
"1989","58.99","Castellar del Riu","68.5","0.88","179.28","0","0","0","278.9","E","E"
"1970","58.14","PREMIA DE DALT","146.8","0.98","231.64","104.43","92.78","0","307.67","E","F"
"1953","53.98","Sabadell","62","1.04","184.14","155.37","2.69","0","256.02","E","E"
"1979","35.55","SANTA EULALIA DE RONÇANA","282","1.48","91.11","0","8.09","105.47","140.59","E","D"
"1900","27.59","Arenys de Mar","134","1.69","114.48","107.72","0.54","0","129.75","D","D"
"2000","15.66","Barcelona ","61","11.49","61.7","17.05","34.33","0","87.37","C","C"
"2016","31.53","Barcelona ","240.36","1.56","128.74","123.75","1.04","0","149.3","D","D"
"1970","88.32","SANT QUIRZE DE SAFAJA","196.2","0.9","241.52","0","5.7","277.92","338.81","G","G"
"2006","56.52","Sant Andreu de la Barca","176","1.51","141.18","219.17","3.9","0","268.44","E","E"
"1880","49.11","Viladrau","126.16","1.9","150.68","0","148.38","0","289.93","E","F"
"2006","44.64","Sant Andreu de la Barca","140","1.63","162.4","0","134.88","0","263.55","E","E"
"1969","53.97","Begues","180","0.74","212.07","179.01","26.77","0","265.34","E","E"
"1998 ","48.07","SANT FELIU DE CODINES","137.4","1.37","150.18","186.88","2.96","0","228.16","E","E"
"1980","128.05","BIGUES I RIELLS","79.97","0.68","314.43","0","7.53","44.14","595.53","G","G"
"1928","59.71","Barcelona ","50.05","0.89","200.91","172.17","4.91","0","283.97","E","F"
"1983","58.24","Llinars del Vallès","103","0.78","152.26","30.02","3.2","159.55","230.08","E","E"
"1910","48.15","SANT VICENÇ DE CASTELLET","94","1.28","128.39","188.41","2.02","0","228.16","E","E"
"1945","51.34","Sabadell","64.1","1.2","159.52","200.74","2.27","0","243.32","E","E"
"1900","55.85","Sabadell","104.36","1.4","158.12","218.14","2.66","0","264.79","E","E"
"1981","72.98","SANT LLORENÇ SAVALL","93.28","0.88","300.95","0","220.47","0","430.8","F","G"
"1990","50.12","ALELLA","122.48","1.19","179.64","194.11","3.63","0","238.09","E","E"
"1950","60.59","Sabadell","78.1","1.13","191.02","233.28","0","0","288.28","E","F"
"1989","43.26","Bagà","172.8","2.32","132.53","171.67","0","0","204.29","E","E"
"1977","92.42","Argentona","75.5","1.07","317.47","360.82","4.53","0","438.21","G","G"
"1969","65.64","Canet de Mar","151.13","2.16","202.8","253.74","3.08","0","309.25","F","F"
"1960","48.53","Vilassar de Dalt","76","1.35","156.42","127.12","1.79","0","229.99","E","E"
"1970","55.01","PIERA","120","1.61","117.57","0","1.97","157.59","214.91","E","E"
"2007","42.31","OLIVELLA","122","0.98","89.22","0","0","131.97","163.08","E","E"
"1960","61.67","Sabadell","60","0.99","204.5","109.89","0","0","292.49","E","F"
"1973","37.8","L´Hospitalet de Llobregat","50","7.46","118.75","70.6","0","0","179.51","E","E"
"1993","69.23","Vallromanes","100","1.17","150.18","15.95","4.72","204.67","269.5","F","E"
"1997","61.83","L´Hospitalet de Llobregat","44.2","3.98","167.59","205.69","28.4","0","303.76","E","F"
"2002","25.93","Sant Joan Despí","193","1.45","82.96","100.7","1.68","0","123.12","D","D"
"1975","87.05","Sant Vicenç de Castellet","48","0.98","246.08","339.42","0","0","412.86","G","G"
"1900","42.6","Sant Pere de Ribes","166.7","1.26","152.93","131.49","28.59","0","212.33","E","E"
"1985","44.33","Jorba","288.94","0.97","140.44","169.75","4.69","0","211.18","D","E"
"2009","59.73","Olivella","105.3","0.91","182.79","0","180.46","0","352.63","E","G"
"1982","43.15","Sitges","145","1.34","157.41","0","52.1","0","224.72","E","E"
"1979","96.6","Cervelló","130","0.74","228.89","0","57.47","246.93","408.06","G","G"
"1940","137.49","MOIA","57.6","1.13","255.11","0","29.77","410.41","542.04","G","G"
"1998","85.37","BERGA","120","0.83","216.81","0","15.86","257.63","334.73","F","E"
"1995","75.61","Matadepera","200","0.99","218.75","295.26","3.63","0","358.46","E","F"
"1972","65.7","Barcelona ","93","0.86","170.52","20.94","37.69","154.15","280.32","F","F"
"1994","17.55","Sant Cugat del Vallés","146.65","2.4","54.63","68.06","0.33","0","83.37","C","C"
"2007","73.19","LA ROCA DEL VALLÈS","130","0.74","197.39","283.82","5.03","0","347.58","F","G"
"1959","102.87","Santa Maria de Palautordera","71.18","1.01","225.08","0","2.85","295.07","401.48","G","G"
"1995","81.78","Tordera","111.96","1.34","162.72","0","0.21","262.73","310.16","G","F"
"1968","105.94","Vilanova del Vallès","81","0.7","263.02","0","6.97","330.31","404.76","G","G"
"2006","39.1","Roda de Ter","125","0.93","100.66","149.89","4.01","0","186.21","E","E"
